x	y
-10	nan
-9.5	nan
-9	nan
-8.5	nan
-8	nan
-7.5	nan
-7	nan
-6.5	nan
-6	nan
-5.5	nan
-5	nan
-4.5	nan
-4	nan
-3.5	nan
-3	nan
-2.5	nan
-2	-inf
-1.5	1.55685
-1	1
-0.5	0.655465
0	0.693147
0.5	1.16629
1	2.09861
1.5	3.50276
2	5.38629
2.5	7.75408
3	10.6094
3.5	13.9547
4	17.7918
4.5	22.1218
5	26.9459
5.5	32.2649
6	38.0794
6.5	44.3901
7	51.1972
7.5	58.5013
8	66.3026
8.5	74.6014
9	83.3979
9.5	92.6923
10	102.485
-20	nan
-19.5	nan
-19	nan
-18.5	nan
-18	nan
-17.5	nan
-17	nan
-16.5	nan
-16	nan
-15.5	nan
-15	nan
-14.5	nan
-14	nan
-13.5	nan
-13	nan
-12.5	nan
-12	nan
-11.5	nan
-11	nan
-10.5	nan
-10	nan
-9.5	nan
-9	nan
-8.5	nan
-8	nan
-7.5	nan
-7	nan
-6.5	nan
-6	nan
-5.5	nan
-5	nan
-4.5	nan
-4	nan
-3.5	nan
-3	nan
-2.5	nan
-2	-inf
-1.5	1.55685
-1	1
-0.5	0.655465
0	0.693147
0.5	1.16629
1	2.09861
1.5	3.50276
2	5.38629
2.5	7.75408
3	10.6094
3.5	13.9547
4	17.7918
4.5	22.1218
5	26.9459
5.5	32.2649
6	38.0794
6.5	44.3901
7	51.1972
7.5	58.5013
8	66.3026
8.5	74.6014
9	83.3979
9.5	92.6923
10	102.485
10.5	112.776
11	123.565
11.5	134.853
12	146.639
12.5	158.924
13	171.708
13.5	184.991
14	198.773
14.5	213.053
15	227.833
15.5	243.112
16	258.89
16.5	275.168
17	291.944
17.5	309.22
18	326.996
18.5	345.27
19	364.045
19.5	383.318
20	403.091
-20.00	nan
-19.50	nan
-19.00	nan
-18.50	nan
-18.00	nan
-17.50	nan
-17.00	nan
-16.50	nan
-16.00	nan
-15.50	nan
-15.00	nan
-14.50	nan
-14.00	nan
-13.50	nan
-13.00	nan
-12.50	nan
-12.00	nan
-11.50	nan
-11.00	nan
-10.50	nan
-10.00	nan
-9.50	nan
-9.00	nan
-8.50	nan
-8.00	nan
-7.50	nan
-7.00	nan
-6.50	nan
-6.00	nan
-5.50	nan
-5.00	nan
-4.50	nan
-4.00	nan
-3.50	nan
-3.00	nan
-2.50	nan
-2.00	-inf
-1.50	1.56
-1.00	1.00
-0.50	0.66
0.00	0.69
0.50	1.17
1.00	2.10
1.50	3.50
2.00	5.39
2.50	7.75
3.00	10.61
3.50	13.95
4.00	17.79
4.50	22.12
5.00	26.95
5.50	32.26
6.00	38.08
6.50	44.39
7.00	51.20
7.50	58.50
8.00	66.30
8.50	74.60
9.00	83.40
9.50	92.69
10.00	102.48
10.50	112.78
11.00	123.56
11.50	134.85
12.00	146.64
12.50	158.92
13.00	171.71
13.50	184.99
14.00	198.77
14.50	213.05
15.00	227.83
15.50	243.11
16.00	258.89
16.50	275.17
17.00	291.94
17.50	309.22
18.00	327.00
18.50	345.27
19.00	364.04
19.50	383.32
20.00	403.09
