x	y
-20.0	nan
-19.5	nan
-19.0	nan
-18.5	nan
-18.0	nan
-17.5	nan
-17.0	nan
-16.5	nan
-16.0	nan
-15.5	nan
-15.0	nan
-14.5	nan
-14.0	nan
-13.5	nan
-13.0	nan
-12.5	nan
-12.0	nan
-11.5	nan
-11.0	nan
-10.5	nan
-10.0	nan
-9.5	nan
-9.0	nan
-8.5	nan
-8.0	nan
-7.5	nan
-7.0	nan
-6.5	nan
-6.0	nan
-5.5	nan
-5.0	nan
-4.5	nan
-4.0	nan
-3.5	nan
-3.0	nan
-2.5	nan
-2.0	-inf
-1.5	1.6
-1.0	1.0
-0.5	0.7
0.0	0.7
0.5	1.2
1.0	2.1
1.5	3.5
2.0	5.4
2.5	7.8
3.0	10.6
3.5	14.0
4.0	17.8
4.5	22.1
5.0	26.9
5.5	32.3
6.0	38.1
6.5	44.4
7.0	51.2
7.5	58.5
8.0	66.3
8.5	74.6
9.0	83.4
9.5	92.7
10.0	102.5
10.5	112.8
11.0	123.6
11.5	134.9
12.0	146.6
12.5	158.9
13.0	171.7
13.5	185.0
14.0	198.8
14.5	213.1
15.0	227.8
15.5	243.1
16.0	258.9
16.5	275.2
17.0	291.9
17.5	309.2
18.0	327.0
18.5	345.3
19.0	364.0
19.5	383.3
20.0	403.1
